Name,FullName,BuildingType,BuildingArea,BuildingYear,BuildingHeight,BuildingFloor,BasementFloor
建国饭店,北京工业大学.交流中心.建国饭店,校园建筑,39998,,0,10,2
出版社,北京工业大学.其他.出版社,校园建筑,0,,0,0,0
外院（家属院）,北京工业大学.其他.外院（家属院）,校园建筑,0,,0,0,0
印刷厂,北京工业大学.其他.印刷厂,校园建筑,0,,0,0,0
车队,北京工业大学.其他.车队,校园建筑,0,,0,0,0
原老干部处,北京工业大学.其他.原老干部处,校园建筑,0,,0,0,0
燃气站,北京工业大学.其他.燃气站,校园建筑,0,,0,0,0
东门修车,北京工业大学.其他.东门修车,校园建筑,0,,0,0,0
东门水泵房,北京工业大学.其他.东门水泵房,校园建筑,0,,0,0,0
锅炉房,北京工业大学.其他.锅炉房,校园建筑,0,,0,0,0
电工木工组,北京工业大学.其他.电工木工组,校园建筑,0,,0,0,0
热力交换站,北京工业大学.其他.热力交换站,校园建筑,0,,0,0,0
西区水泵房,北京工业大学.其他.西区水泵房,校园建筑,0,,0,0,0
西区高压配电,北京工业大学.其他.西区高压配电,校园建筑,0,,0,0,0
毒品库,北京工业大学.其他.毒品库,校园建筑,0,,0,0,0
朝阳变电所,北京工业大学.其他.朝阳变电所,校园建筑,0,,0,0,0
维修小院,北京工业大学.其他.维修小院,校园建筑,0,,0,0,0
西区施工生活区,北京工业大学.其他.西区施工生活区,校园建筑,0,,0,0,0
甲30楼,北京工业大学.其他.甲30楼,校园建筑,0,,0,0,0
南区洗衣房,北京工业大学.其他.南区洗衣房,校园建筑,0,,0,0,0
,北京工业大学.自来水管网.校园北区1进水口,,,,,,
,北京工业大学.自来水管网.校园北区2进水口,,,,,,
,北京工业大学.自来水管网.校园西区进水口,,,,,,
,北京工业大学.自来水管网.校园南区进水口,,,,,,
,北京工业大学.自来水管网.校园东区进水口,,,,,,
,北京工业大学.自来水管网.中蓝公寓进水口,,,,,,
,北京工业大学.中水管网.校园Φ100总表,,,,,,
,北京工业大学.中水管网.校园Φ150总表,,,,,,
,北京工业大学.中水管网.中蓝公寓,,,,,,
